country;density
Albania;102
Algeria;20
American Samoa;234
Andorra;174
Angola;30
Anguilla;162
Antigua and Barbuda;213
Argentina;17
Armenia;104
Aruba;600
Australia;3
Austria;111
Azerbaijan;125
Bahamas;40
Bahrain;2115
Bangladesh;1333
Barbados;657
Belarus;45
Belgium;388
Belize;18
Benin;128
Bermuda;1293
Bhutan;21
Bolivia;11
Bosnia and Herzegovina;62
Botswana;4
Brazil;25
British Virgin Islands;263
Brunei;88
Bulgaria;62
Burkina Faso;86
Burundi;547
Cabo Verde;130
Cambodia;100
Cameroon;62
Canada;4
Caribbean Netherlands;94
Cayman Islands;310
Central African Republic;9
Chad;16
Chile;27
China;151
Colombia;48
Comoros;466
Congo;19
Cook Islands;57
Costa Rica;100
country;density
Croatia;69
Cuba;103
Cura�ao;418
Cyprus;147
Czech Republic (Czechia);139
C�te d'Ivoire;100
Denmark;141
Djibouti;50
Dominica;88
Dominican Republic;236
DR Congo;48
Ecuador;73
Egypt;117
El Salvador;306
Equatorial Guinea;67
Eritrea;35
Estonia;32
Eswatini;72
Ethiopia;132
Faeroe Islands;40
Falkland Islands;0
Fiji;51
Finland;18
France;122
French Guiana;4
French Polynesia;77
Gabon;10
Gambia;273
Georgia;55
Germany;243
Ghana;151
Gibraltar;3933
Greece;78
Greenland;0
Grenada;345
Guadeloupe;222
Guam;311
Guatemala;172
Guinea-Bissau;78
Guinea;60
Guyana;4
Haiti;427
Holy See;124
Honduras;97
Hong Kong;7062
Hungary;107
Iceland;4
India;488
Indonesia;156
Iran;56
Iraq;106
Ireland;76
Isle of Man;148
Israel;434
Italy;202
Jamaica;262
Japan;339
Jordan;130
Kazakhstan;8
Kenya;99
Kiribati;166
Kuwait;277
Kyrgyzstan;37
Laos;34
Latvia;30
Lebanon;568
Lesotho;77
Liberia;58
Libya;4
Liechtenstein;249
Lithuania;46
Luxembourg;260
Macao;24009
Madagascar;55
Malawi;230
Malaysia;108
Maldives;1759
Mali;20
Malta;1686
Marshall Islands;209
Martinique;324
Mauritania;5
Mauritius;626
Mayotte;871
Mexico;67
Micronesia;753
Moldova;92
Monaco;25927
Mongolia;2
Montenegro;47
Montserrat;44
Morocco;85
Mozambique;44
Myanmar;83
Namibia;4
Nauru;597
Nepal;207
Netherlands;541
New Caledonia;16
New Zealand;20
Nicaragua;57
Niger;21
Nigeria;255
Niue;7
North Korea;220
North Macedonia;72
Northern Mariana Islands;96
Norway;15
Oman;17
Pakistan;326
Palau;38
Panama;61
Papua New Guinea;23
Paraguay;17
Peru;27
Philippines;389
Poland;126
Portugal;114
Puerto Rico;366
Qatar;263
Romania;83
Russia;9
Rwanda;578
R�union;351
Saint Barthelemy;536
Saint Helena;13
Saint Kitts & Nevis;180
Saint Lucia;295
Saint Martin;493
Saint Pierre & Miquelon;24
Samoa;77
San Marino;560
Sao Tome & Principe;245
Saudi Arabia;16
Senegal;96
Serbia;77
Seychelles;284
Sierra Leone;120
Singapore;8332
Sint Maarten;1275
Slovakia;115
Slovenia;105
Solomon Islands;29
Somalia;30
South Africa;53
South Korea;532
South Sudan;20
Spain;96
Sri Lanka;368
St. Vincent & Grenadines;258
State of Palestine;913
Sudan;29
Suriname;4
Sweden;26
Switzerland;226
Syria;134
Taiwan;656
Tajikistan;76
Tanzania;77
Thailand;140
Timor-Leste;94
Togo;175
Tokelau;251
Tonga;145
Trinidad and Tobago;294
Tunisia;79
Turkey;114
Turkmenistan;16
Turks and Caicos;49
Tuvalu;322
U.S. Virgin Islands;243
Uganda;250
Ukraine;65
United Arab Emirates;132
United Kingdom;286
United States;38
Uruguay;19
Uzbekistan;85
Vanuatu;27
Venezuela;32
Vietnam;326
Wallis & Futuna;81
Western Sahara;2
Yemen;77
Zambia;29
Zimbabwe;43
